FIPS,Metro Name,foreignshare,MetroArea,lat,lon,Updated
33460,"Minneapolis, MN-WI ",5.00%,"Minneapolis-St. Paul-Bloomington, MN-WI  Metro Area",45.066548,-93.203312,0.049908888
33700,"Modesto, CA ",1.70%,"Modesto, CA  Metro Area",37.559048,-120.997603,0.016358728
34980,"Nashville, TN ",5.00%,"Nashville-Davidson-Murfreesboro-Franklin, TN  Metro Area",36.139221,-86.687008,0.048378378
35300,"New Haven, CT ",4.30%,"New Haven-Milford, CT  Metro Area",41.410886,-72.932379,0.042654578
35380,"New Orleans, LA ",2.70%,"New Orleans-Metairie-Kenner, LA  Metro Area",29.950491,-89.948261,0.02608606
35620,"New York, NY-NJ-PA ",6.90%,"New York-Northern New Jersey-Long Island, NY-NJ-PA  Metro Area",40.786181,-74.145666,0.068435393
35840,"North Port, FL ",4.20%,"North Port-Bradenton-Sarasota, FL  Metro Area",27.34641,-82.31065,0.043868769
36260,"Ogden, UT ",2.70%,"Ogden-Clearfield, UT  Metro Area",41.119218,-111.870006,0.02724706
36420,"Oklahoma City, OK ",2.80%,"Oklahoma City, OK  Metro Area",35.429885,-97.503891,0.028311877
36540,"Omaha, NE-IA ",3.30%,"Omaha-Council Bluffs, NE-IA  Metro Area",41.290046,-95.998974,0.032570109
36740,"Orlando, FL ",2.90%,"Orlando-Kissimmee-Sanford, FL  Metro Area",28.434457,-81.363065,0.030559238
37100,"Oxnard, CA ",4.50%,"Oxnard-Thousand Oaks-Ventura, CA  Metro Area",34.456528,-119.083591,0.04619544
37340,"Palm Bay, FL ",2.80%,"Palm Bay-Melbourne-Titusville, FL  Metro Area",28.264025,-80.743803,0.027285647
37980,"Philadelphia, PA-NJ-DE-MD ",5.80%,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD  Metro Area",39.905811,-75.301458,0.057530567
38060,"Phoenix, AZ ",3.80%,"Phoenix-Mesa-Glendale, AZ  Metro Area",33.185755,-112.070506,0.037268873
38300,"Pittsburgh, PA ",5.10%,"Pittsburgh, PA  Metro Area",40.439056,-79.830883,0.05039477
38900,"Portland, OR-WA ",4.80%,"Portland-Vancouver-Hillsboro, OR-WA  Metro Area",45.598573,-122.478867,0.047680691
39100,"Poughkeepsie, NY ",2.60%,"Poughkeepsie-Newburgh-Middletown, NY  Metro Area",41.582627,-74.025571,0.027489178
39300,"Providence, RI-MA ",7.40%,"Providence-New Bedford-Fall River, RI-MA  Metro Area",41.719561,-71.402015,0.074816622
39340,"Provo, UT ",1.50%,"Provo-Orem, UT  Metro Area",39.864106,-112.35323,0.015288197
39580,"Raleigh, NC ",5.90%,"Raleigh-Cary, NC  Metro Area",35.757096,-78.460851,0.059346359
40060,"Richmond, VA ",5.20%,"Richmond, VA  Metro Area",37.524499,-77.523493,0.052358802
40140,"Riverside, CA ",3.90%,"Riverside-San Bernardino-Ontario, CA  Metro Area",34.551705,-116.129708,0.039382018
40380,"Rochester, NY ",4.90%,"Rochester, NY  Metro Area",43.007205,-77.55945,0.049797714
40900,"Sacramento, CA ",2.50%,"Sacramento-Arden-Arcade-Roseville, CA  Metro Area",38.780367,-120.997481,0.025579611
41180,"St. Louis, MO-IL ",4.80%,"St. Louis, MO-IL  Metro Area",38.669207,-90.395184,0.046892844
41620,"Salt Lake City, UT ",4.60%,"Salt Lake City, UT  Metro Area",40.546003,-112.620802,0.045565281
41700,"San Antonio, TX ",3.00%,"San Antonio-New Braunfels, TX  Metro Area",29.427262,-98.602258,0.03029038
41740,"San Diego, CA ",4.80%,"San Diego-Carlsbad-San Marcos, CA  Metro Area",33.035821,-116.733191,0.047826074
41860,"San Francisco, CA ",5.50%,"San Francisco-Oakland-Fremont, CA  Metro Area",37.779039,-122.161245,0.055116963
41940,"San Jose, CA ",7.40%,"San Jose-Sunnyvale-Santa Clara, CA  Metro Area",36.909249,-121.375592,0.073000215
42540,"Scranton, PA ",6.00%,"Scranton-Wilkes-Barre, PA  Metro Area",41.323213,-75.895756,0.062324509
42660,"Seattle, WA ",4.70%,"Seattle-Tacoma-Bellevue, WA  Metro Area",47.557384,-121.849699,0.045835059
44140,"Springfield, MA ",4.20%,"Springfield, MA  Metro Area",42.364859,-72.625664,0.043861151
44700,"Stockton, CA ",3.50%,"Stockton, CA  Metro Area",37.934375,-121.271519,0.034311805
45060,"Syracuse, NY ",4.10%,"Syracuse, NY  Metro Area",43.153695,-76.033325,0.041644968
45300,"Tampa, FL ",4.40%,"Tampa-St. Petersburg-Clearwater, FL  Metro Area",28.157423,-82.399346,0.042090923
45780,"Toledo, OH ",6.70%,"Toledo, OH  Metro Area",41.504483,-83.680035,0.067558497
46060,"Tucson, AZ ",4.80%,"Tucson, AZ  Metro Area",32.097442,-111.789969,0.048871364
46140,"Tulsa, OK ",4.10%,"Tulsa, OK  Metro Area",36.250377,-96.166165,0.040388517
47260,"Virginia Beach, VA-NC ",5.40%,"Virginia Beach-Norfolk-Newport News, VA-NC  Metro Area",36.917513,-76.482652,0.051710792
47900,"Washington, DC-VA-MD-WV ",5.50%,"Washington-Arlington-Alexandria, DC-VA-MD-WV  Metro Area",38.84977,-77.400966,0.054176942
48620,"Wichita, KS ",3.80%,"Wichita, KS  Metro Area",37.638697,-97.245431,0.047024179
49340,"Worcester, MA ",10.20%,"Worcester, MA  Metro Area",42.3514,-71.907734,0.090227924
49660,"Youngstown, OH-PA ",4.10%,"Youngstown-Warren-Boardman, OH-PA  Metro Area",41.237891,-80.567319,0.039009623
